iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
860,56426496,5.1328,,,0.000298,56126,5.98,0.0000,,,,,
870,57081856,5.0378,,,0.000298,55877,5.97,0.0000,,,,,
880,57737216,5.1397,,,0.000298,55474,5.97,0.0000,,,,,
890,58392576,5.2371,,,0.000298,55875,5.96,0.0000,,,,,
900,59047936,5.1338,,,0.000298,55584,5.95,0.0000,,,,,
910,59703296,4.9588,,,0.000298,55805,5.95,0.0000,,,,,
920,60358656,5.1095,,,0.000298,55630,5.94,0.0000,,,,,
930,61014016,5.1298,,,0.000298,55725,5.94,0.0000,,,,,
940,61669376,5.0081,,,0.000298,55960,5.94,0.0000,,,,,
950,62324736,5.0224,,,0.000298,55603,5.94,0.0000,,,,,
960,62980096,5.0231,,,0.000298,55702,5.93,0.0000,,,,,
970,63635456,5.2431,,,0.000297,55785,5.93,0.0000,,,,,
980,64290816,5.0820,,,0.000297,116035,6.57,0.0000,,,,,
990,64946176,4.8844,,,0.000297,55714,6.50,0.0000,,,,,
1000,65536000,5.0293,5.1232,167.88,0.000297,,6.50,,,,,,
1000,65601536,4.9559,,,0.000297,5138,5.91,0.0000,,,,,
1000,65601536,,,,,,,,0.6666,4.88004,2.95244,3.4461,
1010,66256896,4.8105,,,0.000297,55636,5.90,0.0000,,,,,
1020,66912256,4.9240,,,0.000297,55717,5.90,0.0000,,,,,
1030,67567616,4.9810,,,0.000297,55631,5.90,0.0000,,,,,
1040,68222976,5.2434,,,0.000297,55947,5.91,0.0000,,,,,
1050,68878336,4.9673,,,0.000296,55810,5.91,0.0000,,,,,
1060,69533696,5.0199,,,0.000296,55787,5.91,0.0000,,,,,
1070,70189056,4.7874,,,0.000296,55851,5.91,0.0000,,,,,
1080,70844416,5.0336,,,0.000296,55667,5.91,0.0000,,,,,
1090,71499776,5.0093,,,0.000296,55664,5.91,0.0000,,,,,
1100,72155136,4.9775,,,0.000296,55669,5.91,0.0000,,,,,
1110,72810496,4.8681,,,0.000296,55652,5.91,0.0000,,,,,
1120,73465856,4.9991,,,0.000295,55679,5.91,0.0000,,,,,
1130,74121216,4.9704,,,0.000295,55675,5.90,0.0000,,,,,
1140,74776576,4.8386,,,0.000295,55735,5.91,0.0000,,,,,
1150,75431936,4.8911,,,0.000295,55687,5.90,0.0000,,,,,
1160,76087296,4.8088,,,0.000295,55697,5.90,0.0000,,,,,
1170,76742656,4.8458,,,0.000295,55831,5.91,0.0000,,,,,
1180,77398016,5.0085,,,0.000295,55902,5.91,0.0000,,,,,
1190,78053376,4.8117,,,0.000294,55705,5.91,0.0000,,,,,
1200,78708736,4.6970,,,0.000294,55718,5.91,0.0000,,,,,
1210,79364096,4.9160,,,0.000294,55741,5.91,0.0000,,,,,
1220,80019456,4.9260,,,0.000294,55737,5.91,0.0000,,,,,
1230,80674816,4.9036,,,0.000294,55651,5.91,0.0000,,,,,
1240,81330176,4.7569,,,0.000294,56063,5.91,0.0000,,,,,
1250,81985536,4.8874,,,0.000293,55936,5.91,0.0000,,,,,
1260,82640896,4.8172,,,0.000293,56008,5.91,0.0000,,,,,
1270,83296256,4.7958,,,0.000293,55603,5.91,0.0000,,,,,
1280,83951616,4.8570,,,0.000293,55658,5.91,0.0000,,,,,
1290,84606976,4.7753,,,0.000293,57167,5.93,0.0000,,,,,
1300,85262336,4.8362,,,0.000292,55741,5.92,0.0000,,,,,
1310,85917696,5.0096,,,0.000292,55690,5.92,0.0000,,,,,
1320,86573056,4.7045,,,0.000292,55810,5.92,0.0000,,,,,
1330,87228416,4.7951,,,0.000292,55680,5.92,0.0000,,,,,
1340,87883776,4.9387,,,0.000292,55955,5.92,0.0000,,,,,
1350,88539136,4.6725,,,0.000292,55707,5.92,0.0000,,,,,
1360,89194496,4.7972,,,0.000291,55847,5.92,0.0000,,,,,
1370,89849856,4.6833,,,0.000291,55684,5.92,0.0000,,,,,
1380,90505216,4.6027,,,0.000291,55597,5.91,0.0000,,,,,
1390,91160576,4.7419,,,0.000291,55657,5.91,0.0000,,,,,
1400,91815936,4.7466,,,0.000291,55779,5.91,0.0000,,,,,
1410,92471296,4.6191,,,0.000290,55793,5.91,0.0000,,,,,
1420,93126656,4.7483,,,0.000290,55567,5.91,0.0000,,,,,
1430,93782016,4.7683,,,0.000290,55590,5.91,0.0000,,,,,
1440,94437376,4.7997,,,0.000290,55757,5.91,0.0000,,,,,
1450,95092736,4.7699,,,0.000289,55687,5.91,0.0000,,,,,
1460,95748096,4.7089,,,0.000289,55700,5.91,0.0000,,,,,
1470,96403456,4.5951,,,0.000289,55832,5.91,0.0000,,,,,
1480,97058816,4.7519,,,0.000289,55686,5.91,0.0000,,,,,
1490,97714176,4.8070,,,0.000289,55813,5.91,0.0000,,,,,
1500,98304000,4.6554,4.7615,116.92,0.000288,,5.91,,,,,,
1500,98369536,4.6251,,,0.000288,5142,5.37,0.0000,,,,,
1510,99024896,4.7760,,,0.000288,55651,5.43,0.0000,,,,,
1520,99680256,4.7169,,,0.000288,55887,5.47,0.0000,,,,,
1530,100335616,4.5691,,,0.000288,55775,5.52,0.0000,,,,,
1540,100990976,4.6290,,,0.000287,55721,5.56,0.0000,,,,,
1550,101646336,4.6271,,,0.000287,55741,5.59,0.0000,,,,,
1560,102301696,4.4364,,,0.000287,55762,5.62,0.0000,,,,,
1570,102957056,4.6148,,,0.000287,56154,5.66,0.0000,,,,,
1580,103612416,4.5039,,,0.000286,55808,5.68,0.0000,,,,,
1590,104267776,4.5374,,,0.000286,55820,5.71,0.0000,,,,,
1600,104923136,4.7691,,,0.000286,55617,5.72,0.0000,,,,,
1610,105578496,4.7167,,,0.000286,57672,5.76,0.0000,,,,,
1620,106233856,4.6431,,,0.000285,55668,5.78,0.0000,,,,,
1630,106889216,4.5828,,,0.000285,55897,5.79,0.0000,,,,,
1640,107544576,4.5532,,,0.000285,55850,5.80,0.0000,,,,,
1650,108199936,4.6049,,,0.000285,56663,5.82,0.0000,,,,,
1660,108855296,4.4992,,,0.000284,56059,5.84,0.0000,,,,,
1670,109510656,4.6413,,,0.000284,55658,5.84,0.0000,,,,,
1680,110166016,4.4954,,,0.000284,55681,5.85,0.0000,,,,,
1690,110821376,4.5095,,,0.000284,56043,5.86,0.0000,,,,,
1700,111476736,4.5522,,,0.000283,55934,5.86,0.0000,,,,,
1710,112132096,4.4907,,,0.000283,55664,5.87,0.0000,,,,,
1720,112787456,4.7677,,,0.000283,55761,5.87,0.0000,,,,,
1730,113442816,4.4722,,,0.000282,55797,5.88,0.0000,,,,,
1740,114098176,4.4667,,,0.000282,55645,5.88,0.0000,,,,,
1750,114753536,4.4979,,,0.000282,55662,5.88,0.0000,,,,,
1760,115408896,4.3467,,,0.000282,55625,5.88,0.0000,,,,,
1770,116064256,4.4635,,,0.000281,55815,5.89,0.0000,,,,,
1780,116719616,4.5848,,,0.000281,56419,5.90,0.0000,,,,,
1790,117374976,4.5347,,,0.000281,56484,5.90,0.0000,,,,,
1800,118030336,4.6679,,,0.000280,56475,5.91,0.0000,,,,,
1810,118685696,4.5180,,,0.000280,55838,5.91,0.0000,,,,,
1820,119341056,4.5204,,,0.000280,55901,5.91,0.0000,,,,,
1830,119996416,4.2477,,,0.000280,55877,5.92,0.0000,,,,,
1840,120651776,4.3774,,,0.000279,55713,5.91,0.0000,,,,,
1850,121307136,4.4543,,,0.000279,55801,5.91,0.0000,,,,,
1860,121962496,4.4820,,,0.000279,55687,5.91,0.0000,,,,,
1870,122617856,4.4839,,,0.000278,55710,5.91,0.0000,,,,,
1880,123273216,4.3590,,,0.000278,55949,5.91,0.0000,,,,,
1890,123928576,4.4458,,,0.000278,55772,5.91,0.0000,,,,,
1900,124583936,4.5883,,,0.000277,55784,5.91,0.0000,,,,,
1910,125239296,4.2349,,,0.000277,55761,5.91,0.0000,,,,,
1920,125894656,4.3472,,,0.000277,55529,5.91,0.0000,,,,,
1930,126550016,4.3911,,,0.000276,55992,5.91,0.0000,,,,,
