iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
860,56426496,4.7779,,,0.000298,86956,20.79,0.0000,,,,,
870,57081856,5.0976,,,0.000298,87521,20.80,0.0000,,,,,
880,57737216,4.8521,,,0.000298,87639,20.82,0.0000,,,,,
890,58392576,5.0192,,,0.000298,87154,20.82,0.0000,,,,,
900,59047936,5.0090,,,0.000298,87077,20.82,0.0000,,,,,
910,59703296,4.9620,,,0.000298,87021,20.82,0.0000,,,,,
920,60358656,4.9778,,,0.000298,87170,20.82,0.0000,,,,,
930,61014016,4.9178,,,0.000298,87158,20.82,0.0000,,,,,
940,61669376,4.8730,,,0.000298,87143,20.83,0.0000,,,,,
950,62324736,4.8375,,,0.000298,86859,20.82,0.0000,,,,,
960,62980096,4.7116,,,0.000298,87105,20.82,0.0000,,,,,
970,63635456,4.9292,,,0.000297,87353,20.83,0.0000,,,,,
980,64290816,4.8710,,,0.000297,87393,20.83,0.0000,,,,,
990,64946176,4.7262,,,0.000297,87194,20.84,0.0000,,,,,
1000,65536000,4.8444,4.9624,142.93,0.000297,,20.84,,,,,,
1000,65601536,4.6935,,,0.000297,7531,18.93,0.0000,,,,,
1010,66256896,4.7865,,,0.000297,86795,19.11,0.0000,,,,,
1020,66912256,4.7284,,,0.000297,87130,19.29,0.0000,,,,,
1030,67567616,4.8373,,,0.000297,87218,19.44,0.0000,,,,,
1040,68222976,4.8965,,,0.000297,87216,19.58,0.0000,,,,,
1050,68878336,4.7404,,,0.000296,87151,19.71,0.0000,,,,,
1060,69533696,4.9133,,,0.000296,87344,19.83,0.0000,,,,,
1070,70189056,4.8144,,,0.000296,86978,19.92,0.0000,,,,,
1080,70844416,4.8342,,,0.000296,87018,20.01,0.0000,,,,,
1090,71499776,4.8569,,,0.000296,87091,20.09,0.0000,,,,,
1100,72155136,4.7277,,,0.000296,87108,20.17,0.0000,,,,,
1110,72810496,4.5911,,,0.000296,87062,20.23,0.0000,,,,,
1120,73465856,4.7196,,,0.000295,87505,20.30,0.0000,,,,,
1130,74121216,4.7116,,,0.000295,87276,20.36,0.0000,,,,,
1140,74776576,4.6254,,,0.000295,87069,20.40,0.0000,,,,,
1150,75431936,4.6849,,,0.000295,87328,20.45,0.0000,,,,,
1160,76087296,4.7783,,,0.000295,86855,20.48,0.0000,,,,,
1170,76742656,4.7275,,,0.000295,87354,20.52,0.0000,,,,,
1180,77398016,4.5298,,,0.000295,87172,20.56,0.0000,,,,,
1190,78053376,4.7165,,,0.000294,87114,20.58,0.0000,,,,,
1200,78708736,4.3922,,,0.000294,87461,20.62,0.0000,,,,,
1210,79364096,4.5514,,,0.000294,87054,20.64,0.0000,,,,,
1220,80019456,4.5794,,,0.000294,87057,20.65,0.0000,,,,,
1230,80674816,4.4636,,,0.000294,87357,20.68,0.0000,,,,,
1240,81330176,4.8664,,,0.000294,87113,20.69,0.0000,,,,,
1250,81985536,4.5003,,,0.000293,87325,20.71,0.0000,,,,,
1260,82640896,4.5554,,,0.000293,87046,20.72,0.0000,,,,,
1270,83296256,4.5840,,,0.000293,87147,20.73,0.0000,,,,,
1280,83951616,4.5215,,,0.000293,87719,20.76,0.0000,,,,,
1290,84606976,4.5690,,,0.000293,86951,20.76,0.0000,,,,,
