iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
750,12304384,2.9768,,,0.000299,235906,11.70,0.0000,,,,,
760,12468224,3.0684,,,0.000299,220827,11.28,0.0000,,,,,
770,12632064,3.0953,,,0.000299,222689,10.92,0.0000,,,,,
780,12795904,2.9917,,,0.000299,220693,10.58,0.0000,,,,,
790,12959744,2.9256,,,0.000299,226830,10.29,0.0000,,,,,
800,13123584,3.0303,,,0.000299,219643,10.01,0.0000,,,,,
810,13287424,2.9691,,,0.000299,226585,9.78,0.0000,,,,,
820,13451264,2.9714,,,0.000299,219796,9.55,0.0000,,,,,
830,13615104,2.8761,,,0.000299,220867,9.35,0.0000,,,,,
840,13778944,2.9064,,,0.000299,228280,9.19,0.0000,,,,,
850,13942784,2.8547,,,0.000299,220210,9.02,0.0000,,,,,
860,14106624,2.9871,,,0.000299,220125,8.87,0.0000,,,,,
870,14270464,2.8359,,,0.000299,231358,8.77,0.0000,,,,,
880,14434304,2.8698,,,0.000299,221624,8.65,0.0000,,,,,
890,14598144,2.7990,,,0.000299,220510,8.54,0.0000,,,,,
900,14761984,2.7920,,,0.000299,221005,8.44,0.0000,,,,,
910,14925824,2.8318,,,0.000299,220025,8.34,0.0000,,,,,
920,15089664,2.7959,,,0.000299,219635,8.26,0.0000,,,,,
930,15253504,2.8540,,,0.000299,220439,8.18,0.0000,,,,,
940,15417344,2.7850,,,0.000299,226165,8.13,0.0000,,,,,
950,15581184,2.7506,,,0.000299,220054,8.07,0.0000,,,,,
960,15745024,2.8552,,,0.000299,219923,8.01,0.0000,,,,,
970,15908864,2.7317,,,0.000299,229631,7.99,0.0000,,,,,
980,16072704,2.7991,,,0.000299,218880,7.94,0.0000,,,,,
990,16236544,2.8367,,,0.000299,225310,7.91,0.0000,,,,,
1000,16384000,2.7805,2.7758,16.05,0.000299,,7.91,,,,,,
1000,16400384,2.7958,,,0.000299,2876,7.13,0.0000,,,,,
1010,16564224,2.8049,,,0.000299,220311,7.17,0.0000,,,,,
1020,16728064,2.7189,,,0.000299,221193,7.21,0.0000,,,,,
1030,16891904,2.7512,,,0.000299,220676,7.24,0.0000,,,,,
1040,17055744,2.7659,,,0.000299,228273,7.29,0.0000,,,,,
1050,17219584,2.8327,,,0.000299,220390,7.31,0.0000,,,,,
1060,17383424,2.7275,,,0.000299,220969,7.34,0.0000,,,,,
1070,17547264,2.7417,,,0.000299,227770,7.38,0.0000,,,,,
1080,17711104,2.7959,,,0.000299,220446,7.39,0.0000,,,,,
1090,17874944,2.7127,,,0.000299,219785,7.40,0.0000,,,,,
1100,18038784,2.7646,,,0.000299,229050,7.44,0.0000,,,,,
1110,18202624,2.7597,,,0.000299,221660,7.45,0.0000,,,,,
1120,18366464,2.7334,,,0.000299,220174,7.46,0.0000,,,,,
1130,18530304,2.6846,,,0.000299,219173,7.46,0.0000,,,,,
1140,18694144,2.6657,,,0.000299,220017,7.46,0.0000,,,,,
1150,18857984,2.7727,,,0.000298,219473,7.46,0.0000,,,,,
1160,19021824,2.7661,,,0.000298,220488,7.47,0.0000,,,,,
1170,19185664,2.6263,,,0.000298,229206,7.50,0.0000,,,,,
1180,19349504,2.6671,,,0.000298,220147,7.50,0.0000,,,,,
1190,19513344,2.6674,,,0.000298,220424,7.50,0.0000,,,,,
